id,SMILES,Tm,token_count
2175,FC1=C(F)C(F)(F)C1(F)F,213.15,21
1222,c1ccc2c(c1)ccc3Nc4ccccc4c23,407.15,27
2994,CCN1C(C)=Nc2ccccc12,324.15,19
1704,CC#CC(=O)O,351.15,10
2526,CCCCC(S)C,126.15,9
3230,O=N(=O)c1cccc(c1)C(C)(C)C,275.15,25
2906,CCCCCCCCCCCCCCCCCCCCC1CCCCC1,321.65,28
2305,CCCOC(=O)CCC(=O)OCCC,267.25,20
1133,c1ccc2c(c1)Sc3ccccc23,370.15,21
2250,OCCOC(=O)C=C,213.0,12
1387,ClCCC(F)(F)F,166.65,11
2218,O=C1CCCCC1=O,313.15,12
3051,CCOC(=O)c1ccc2OCOc2c1,291.65,21
1261,OC(O)C(Cl)(Cl)Cl,330.15,13
698,BrCCC,163.15,4
912,CCCCCC=CC,193.15,9
386,COc1ccccc1NC(=O)C,360.65,17
2299,CCOC(=O)c1cccc(N)c1,422.65,19
2236,N#Cc1c(F)c(F)c(F)c(F)c1F,275.55,24
2396,C=CCCCCCCCCCCCC,261.15,15
258,c1ccc2c(c1)ccc3ccccc23,372.35,22
2869,Brc1ccc(cc1)C(=O)c2ccc(Br)cc2,450.15,27
2307,C=COC(C)(C)C,161.15,12
474,CCOC(=O)C(C)C,184.95,13
1894,CCOC(=S)C(=S)OCC,300.15,16
430,Nc1ccc(N)c(C)c1,337.15,15
3300,C1CCC(CC1)CCCCCC2CCCCC2,259.55,23
2732,Clc1ccc(cc1)C(C)C,260.85,16
3193,CCCCCC(C)CCC,174.15,12
1035,CN1CCCC1,183.15,8
2234,N1CCC(CC1)c2ccccc2,333.65,18
169,OC(c1ccccc1)(c2ccccc2)c3ccccc3,437.35,30
1854,Clc1ccc2ccccc2n1,311.15,15
993,ClCCOP(=O)(OCCCl)OCCCl,238.15,19
2003,Sc1ccccc1S,300.15,10
702,C=CC=C,164.25,6
1084,OCCC(C)C,155.95,8
625,CCCCCCCCCc1ccc(O)cc1,315.15,20
1053,Oc1ccc(cc1)Nc2ccccc2,346.15,20
3129,CCCCCCCC(C)CC,180.25,13
995,FC(F)=C(F)F,130.65,11
694,CCOCCOC(=O)C=C,226.15,14
431,Oc1ccc(O)c(C)c1,401.15,15
3109,Cl[Si](Cl)Cl,146.65,6
713,C=CCN,184.95,5
2152,O=C(N)C(Cl)Cl,372.55,11
1649,Cc1cc2ccccc2cc1C,378.15,16
147,O=C(O)C(Cl)(Cl)C,268.15,14
975,OCCCCCCCCCCCCCC,312.65,15
136,BrC(Br)C(F)F,211.85,10
1791,Cc1cc(C)c(N(=O)=O)c(C)c1,317.15,24
1064,CCOc1ccc(OCC)cc1,345.15,16
3092,Cc1cccc2ncccc12,292.15,15
1285,Fc1ccc(cc1)N(=O)=O,294.15,18
2584,CCCC#CCCC,172.15,9
1104,C=CCCCCCCC,191.85,10
2903,Cc1ccc(cc1C)c2ccccc2,302.65,20
394,O=CN(C)c1ccccc1,287.65,15
1108,CCCCCCCCCC,243.45,10
1456,O1COCCC1,228.15,8
1141,O=Cc1ccccc1OC,310.65,13
2252,C=CC=CC=C,261.15,9
1960,O=Cc1ccc(C=O)cc1,390.15,16
1049,O=N(=O)c1cccc(c1)C(=O)Cl,309.15,23
1045,Cc1cccc(c1)N(C)C,258.15,16
2902,Cc1ccc(O)c(c1)C(C)C,309.65,19
2944,CC=CCCC=CC,197.15,10
1374,O=C(O)c1cccc(c1)C(F)(F)F,378.65,24
2921,CCO[Si](Cl)(OCC)OCC,222.15,15
3279,CCc1cc(C)nc(C)c1,370.15,16
2803,Clc1cccc(O)c1C,359.15,13
487,O=S(=O)(Cl)c1ccccc1,287.65,18
1231,c1ccc2c(n1)ccc3cccnc23,351.15,22
2899,Cc1cc(Cl)c2ccccc2n1,315.65,18
1429,c1ccc2CCOc2c1,251.65,13
1041,COP(OC)OC,195.15,9
1744,CC1CC1,95.85,6
3071,Cc1cnc2ccccc2n1,453.65,15
2892,CCC(Cl)(Cl)C,199.15,10
890,CCOCCOC(=O)C,211.45,12
3323,CCC(CC)COCCC(=O)O,305.65,17
2474,O=CF,130.95,4
764,Cc1cccc(C)c1,225.35,12
781,Nc1cc(C)cc(C)c1,282.95,15
1465,BrC(C)(C)C,256.95,9
1678,CCOc1ccc(Br)cc1,277.15,14
3133,CCNCCCC,195.15,7
1869,O=Cc1cc(C)ccc1O,329.15,15
2057,C1=CC=CC=CC=C1,268.45,14
796,Oc1ccccc1,314.05,9
1499,C=C(c1ccccc1)c2ccccc2,281.35,21
49,O=C(N)c1ccccc1O,415.15,15
2239,CC(C)(c1ccccc1)c2ccccc2,302.15,23
1861,CCCCN(CCCC)c1ccccc1,240.95,19
2872,C=CCCC(=C)C,144.35,11
997,O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,271.15,21
2913,BrCCCCCCCBr,314.85,9
1012,O=C(c1ccccc1)c2ccccc2,320.95,21
3065,C#CCC(C)C,168.55,9
3078,Cc1ccc(cc1)c2cccc(C)c2,287.65,22
464,S=C1NCCN1,476.15,9
618,CC(C)CC(=O)CC(C)C,227.15,17
1101,CCCCCCCC(=O)O,512.15,13
532,Nc1ccc(cc1)N(=O)=O,420.15,18
1117,O=S1(=O)CCCC1,300.75,13
1336,O=N(=O)c1ccccc1C(F)(F)F,305.65,23
1121,ON=C(C)C,334.15,8
1930,ClCC(=O)Oc1ccccc1,317.65,16
2753,Brc1c(Br)c(Br)c(Br)c(C)c1C,535.15,22
789,CC1CCCCC1,146.55,9
1034,O=C1CCCC1,221.85,9
3287,COc1c(Cl)ccc(Cl)c1Cl,318.15,17
2215,OC(C)C1CC1,241.05,10
867,CNCCCC,198.15,6
539,CC(C)c1ccc(cc1)C(C)C,256.15,20
154,O=N(=O)C(Cl)(Cl)Cl,209.15,15
110,ClC(Cl)F,138.15,6
3324,Clc1ccccc1CN2OCC(C)(C)C2=O,298.15,25
2496,ClC(F)(F)C(Cl)(Cl)C(F)(F)F,268.85,23
2077,OCCCCCCCCCCCCCCCCCCCC,339.25,21
2836,CC(C)C1CC1,160.25,10
1689,Brc1ccc(I)cc1,365.15,12
1453,Nc1ncccc1,330.65,9
3202,ClC(Cl)[Si](Cl)(C)C,225.15,13
2685,CCCOC(=O)c1ccccc1,221.55,17
587,O=C(Cc1ccccc1)Cc2ccccc2,308.15,23
2350,CCC=Cc1ccccc1,230.05,13
462,OC1CCCC1,254.15,8
403,C=CCc1ccc2OCOc2c1,284.35,17
1097,CCCCCCC(O)C,311.75,11
1510,CC1=NCCN1,380.15,9
958,OCCCCCCCCCCC,292.15,12
2163,C#CCCCC,141.25,7
1306,FC(F)(F)C(Cl)(F)C(Cl)(F)C(F)(F)F,205.15,30
3110,Cl[Si](Cl)(Cl)Cl,203.15,9
3113,CCCCCCCCCCC(O)C,292.15,15
2284,OCc1ccc(Cl)cc1,348.15,13
