Epoch,Train Loss,Val Loss,Val RMSE
1,37044.36072264708,8617.620601797462,92.83114
2,7064.470762984749,8758.994920773614,93.5895
3,6175.5551936703705,5630.523092398967,75.036804
4,5407.823382777639,5468.684309651081,73.950554
5,4779.850339044702,6893.735340548637,83.02852
6,4513.05488084011,5612.198622165766,74.91461
7,3950.5536057815802,11226.47074718045,105.95504
8,4034.7179647134803,5408.060447750235,73.53952
9,3875.7792651103437,3601.782170575364,60.01485
10,3804.4322737393218,5512.406088463345,74.24558
11,3719.3128261324273,6840.898118097979,82.709724
12,3705.249371587306,3650.06026143239,60.41573
13,3612.6211792966915,4837.206855946018,69.550026
14,3408.865167520146,3641.9614473500646,60.348667
15,3328.3927380950195,3215.553947276639,56.705856
16,3246.931460931078,3645.466671592311,60.3777
17,3132.496860459356,5519.308775478736,74.29205
18,3204.998531257339,3285.6301297065907,57.320415
19,3296.3391850634102,6653.923723493303,81.57159
20,3226.4532911624074,4951.925733523261,70.36992
