Epoch,Train Loss,Val Loss,Val RMSE
1,75511.02284119598,59463.17551691729,243.85072
2,36425.77494798394,14988.751409774437,122.42856
3,8683.280389716783,8011.474513921523,89.50684
4,6380.033355870567,6624.643877760808,81.391914
5,5402.977216484962,5677.173101210056,75.347015
6,5022.950036603893,6078.083378612547,77.96207
7,5412.28944321718,6142.128656602444,78.371735
8,5099.1390508720715,5644.982855086936,75.1331
9,4870.403009546369,5989.381248531485,77.39109
10,4872.268418110945,5583.866534010808,74.72527
11,4796.787520710097,5383.97576950188,73.37558
12,4928.95349264436,5787.735601210056,76.07717
13,5073.0732242983795,5810.907938792293,76.22931
14,4990.446596617764,5323.217053865132,72.96038
15,4820.232716013424,5524.316553101504,74.32575
16,4731.0494788990945,5542.880360079887,74.45052
17,4610.530155896805,5235.998612253289,72.3602
18,4528.523243471847,5616.314871651785,74.94208
19,4459.96524533782,5126.9179026668235,71.6025
20,4301.211454105691,5101.28299019032,71.42326
